sampleName	Scer	Spar	otherAmplifiedITS	otherGrowth	substrate	fieldDate	weight	isolationTemp	hostName	site	species	hostType	latitude	longitude	elevation	circum	pH
IGC1e	0	0	0	0	fig	04/08/2011	21.22	30	IGC1	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IGC1f	0	0	1	0	fig	04/08/2011	15.73	30	IGC1	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IGC1g	0	0	0	0	fig	04/08/2011	26.24	30	IGC1	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IGC1h	0	0	0	0	fig	04/08/2011	13.14	30	IGC1	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IGC1i	0	0	0	1	fig	04/08/2011	9.09	30	IGC1	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IGC1j	0	0	0	0	fig	04/08/2011	NA	30	IGC1	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IGC1k	0	0	0	1	bark	04/08/2011	4.31	30	IGC1	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IXIA	0	0	0	1	grape	04/09/2011	9.78	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXIB	0	0	0	0	grape	04/09/2011	6.19	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXIC	0	0	0	0	grape	04/09/2011	6.35	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXID	0	0	0	1	grape	04/09/2011	12.17	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXIE	0	0	0	1	grape	04/09/2011	9.34	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXIF	0	0	0	0	grape	04/09/2011	4.58	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXIG	0	0	0	1	grape	04/09/2011	5.26	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXIH	0	0	0	1	grape	04/09/2011	5.91	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXII	0	0	0	1	grape	04/09/2011	4.84	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
IXIJ	0	0	0	1	grape	04/09/2011	11.33	30	IXI	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
LBW1a	0	0	0	0	soil	28/09/2006	0.56	25	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1d	0	0	0	1	bark	28/09/2006	0.96	25	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1e	0	0	0	0	bark	28/09/2006	1.01	25	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1f	0	1	0	0	soil	28/09/2006	1.31	25	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1g	0	0	0	0	soil	10/11/2006	2.21	30	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1h	0	0	0	0	bark	10/11/2006	0.9	30	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1i	0	0	0	0	bark	10/11/2006	1.91	30	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1m	0	0	0	0	bark	14/07/2007	0.65	30	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW1n	0	0	0	0	bark	14/07/2007	0.29	30	LBW1	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW2a	0	1	0	0	bark	28/09/2006	1.014285714	25	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2b	0	0	0	1	soil	28/09/2006	0.89	25	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2c	0	0	1	0	soil	28/09/2006	1.19	25	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2d	0	0	1	0	bark	28/09/2006	1.76	25	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2ha	0	1	0	0	bark	10/11/2006	0.86	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2hb	0	0	1	0	bark	10/11/2006	0.96	25	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2hc	0	0	0	1	bark	10/11/2006	NA	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2ja	0	0	1	0	bark	10/11/2006	0.64	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2jb	0	1	0	0	bark	10/11/2006	0.77	25	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2jc	0	0	1	0	bark	10/11/2006	NA	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2ka	0	0	0	0	bark	10/11/2006	0.69	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2kb	0	0	1	0	bark	10/11/2006	0.72	25	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2kc	0	0	1	0	bark	10/11/2006	NA	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2n	0	0	1	0	soil	10/11/2006	NA	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2oa	0	1	0	0	bark	14/07/2007	0.46	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2ob	0	0	0	0	bark	14/07/2007	0.43	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2oc	0	0	1	0	bark	14/07/2007	0.66	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2pa	0	0	0	0	bark	14/07/2007	0.54	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2pb	0	0	0	0	bark	14/07/2007	0.37	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2pc	0	1	0	0	bark	14/07/2007	0.54	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2qa	0	1	0	0	bark	14/07/2007	0.56	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2qb	0	1	0	0	bark	14/07/2007	0.23	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW2qc	0	0	0	1	bark	14/07/2007	0.77	30	LBW2	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW4a	0	0	0	0	soil	10/11/2006	0.83	30	LBW4	LBW	Quercuspetraea	oak	53.377958	-1.6937589	310	NA	3.5
LBW4ba	0	0	0	0	bark	10/11/2006	0.86	30	LBW4	LBW	Quercuspetraea	oak	53.377958	-1.6937589	310	NA	3.5
LBW4bb	0	0	0	0	bark	10/11/2006	1.03	30	LBW4	LBW	Quercuspetraea	oak	53.377958	-1.6937589	310	NA	3.5
LBW4c	0	0	0	0	bark	10/11/2006	0.414285714	30	LBW4	LBW	Quercuspetraea	oak	53.377958	-1.6937589	310	NA	3.5
LBW5d	0	0	0	0	bark	14/07/2007	1.01	30	LBW5	LBW	Quercuspetraea	oak	53.379146	-1.6871812	286	2.73	3.5
LBW5f	0	0	0	0	bark	14/07/2007	0.82	30	LBW5	LBW	Quercuspetraea	oak	53.379146	-1.6871812	286	2.73	3.5
LBW5g	0	0	0	0	bark	14/07/2007	0.51	30	LBW5	LBW	Quercuspetraea	oak	53.379146	-1.6871812	286	2.73	3.5
MB10a	0	0	0	0	bark	28/08/2011	0.16	30	MB10	MB	Quercuspubescens	oak	43.64716	3.20309	285	0.51	NA
MB10b	0	0	0	0	bark	28/08/2011	0.14	30	MB10	MB	Quercuspubescens	oak	43.64716	3.20309	285	0.51	NA
MB10c	0	0	0	1	bark	28/08/2011	0.3	30	MB10	MB	Quercuspubescens	oak	43.64716	3.20309	285	0.51	NA
MB10d	0	0	1	1	bark	28/08/2011	0.16	30	MB10	MB	Quercuspubescens	oak	43.64716	3.20309	285	0.51	NA
MB11a	0	0	0	0	bark	28/08/2011	0.21	30	MB11	MB	Quercuspubescens	oak	43.64719	3.20307	284	NA	NA
MB11b	0	0	0	0	bark	28/08/2011	0.13	30	MB11	MB	Quercuspubescens	oak	43.64719	3.20307	284	NA	NA
MB11c	0	0	0	1	bark	28/08/2011	0.44	30	MB11	MB	Quercuspubescens	oak	43.64719	3.20307	284	NA	NA
MB11d	0	1	0	0	bark	28/08/2011	0.48	30	MB11	MB	Quercuspubescens	oak	43.64719	3.20307	284	NA	NA
MB12a	0	0	0	1	bark	28/08/2011	1.11	30	MB12	MB	Quercusilex	oak	43.64713	3.20315	283	0.72	NA
MB12b	0	0	0	1	bark	28/08/2011	0.92	30	MB12	MB	Quercusilex	oak	43.64713	3.20315	283	0.72	NA
MB12c	0	0	0	1	bark	28/08/2011	0.67	30	MB12	MB	Quercusilex	oak	43.64713	3.20315	283	0.72	NA
MB12d	0	0	0	1	bark	28/08/2011	0.24	30	MB12	MB	Quercusilex	oak	43.64713	3.20315	283	0.72	NA
MB13a	0	1	0	0	bark	28/08/2011	1.56	30	MB13	MB	Quercusilex	oak	43.64704	3.20321	307	0.71	NA
MB13b	0	0	0	0	bark	28/08/2011	0.29	30	MB13	MB	Quercusilex	oak	43.64704	3.20321	307	0.71	NA
MB13c	0	0	0	0	bark	28/08/2011	0.5	30	MB13	MB	Quercusilex	oak	43.64704	3.20321	307	0.71	NA
MB13d	0	0	0	0	bark	28/08/2011	0.61	30	MB13	MB	Quercusilex	oak	43.64704	3.20321	307	0.71	NA
MB14a	0	0	0	0	bark	28/08/2011	0.49	30	MB14	MB	Quercusilex	oak	43.64703	3.20326	302	0.86	NA
MB14b	0	0	0	0	bark	28/08/2011	0.32	30	MB14	MB	Quercusilex	oak	43.64703	3.20326	302	0.86	NA
MB14c	0	0	0	0	bark	28/08/2011	0.9	30	MB14	MB	Quercusilex	oak	43.64703	3.20326	302	0.86	NA
MB14d	0	0	0	0	bark	28/08/2011	0.75	30	MB14	MB	Quercusilex	oak	43.64703	3.20326	302	0.86	NA
MB15b	0	1	0	0	bark	28/08/2011	0.84	30	MB15	MB	Quercusilex	oak	43.64705	3.2033	303	0.6	NA
MB15c	0	0	0	1	bark	28/08/2011	0.71	30	MB15	MB	Quercusilex	oak	43.64705	3.2033	303	0.6	NA
MB15d	0	0	1	0	bark	28/08/2011	0.77	30	MB15	MB	Quercusilex	oak	43.64705	3.2033	303	0.6	NA
