hostName	ScerCount	SparCount	otherAmplifiedITScount	otherGrowthCount	sampleCount	site	species	hostType	latitude	longitude	elevation	circum	pH	tmaxlatitude	tmaxlongitude	maxtemp
CRO9	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494579	-1.8943887	288	1	3	53.49167	-1.891667	196
DAV1	1	1	2	0	8	DAV	Quercusrobur	oak	51.022117	0.197617	85.3	1.9	4	51.025	0.2	214
DAV10	0	0	2	1	4	DAV	Vitisvinifera	grape	51.022167	0.197367	85.5	NA	5.5	51.025	0.2	214
DAV11	0	0	2	1	6	DAV	Vitisvinifera	grape	51.022067	0.197333	85.5	NA	5.5	51.025	0.2	214
DAV2	0	0	0	0	4	DAV	Quercusrobur	oak	51.022167	0.197767	86.3	3.18	5.5	51.025	0.2	214
DAV3	0	0	0	0	4	DAV	Quercuspetraea	oak	51.022	0.197417	93.3	0.38	4	51.025	0.2	214
DAV4	0	0	0	0	4	DAV	Quercusrobur	oak	51.021933	0.197433	94.8	0.74	3.5	51.025	0.2	214
DAV5	0	0	0	0	4	DAV	Quercusrobur	oak	51.02195	0.1973	88.4	0.44	4.5	51.025	0.2	214
DAV6	0	0	0	0	4	DAV	Quercusrobur	oak	51.021783	0.19725	78.3	0.54	5.5	51.025	0.2	214
DAV7	0	0	3	0	4	DAV	Vitisvinifera	grape	51.022633	0.1979	85.5	NA	5.5	51.025	0.2	214
DAV8	1	0	0	0	4	DAV	Vitisvinifera	grape	51.02245	0.197433	85.5	NA	5.5	51.025	0.2	214
DAV9	2	0	2	0	4	DAV	Vitisvinifera	grape	51.022283	0.197417	85.5	NA	5.5	51.025	0.2	214
DAVAUX	2	0	0	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	85.5	NA	5.5	51.025	0.2	214
DAVPIN	1	0	2	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	85.5	NA	5.5	51.025	0.2	214
FGX	1	0	0	5	12	PAR	Ficuscarica	fig	38.12495	23.85544	351	NA	NA	38.125	23.85833	308
FRI1	0	1	0	3	4	FRI	Quercuspetraea	oak	50.928117	-1.656017	187.5	3.52	4.5	50.925	-1.658333	213
FRI10	0	0	2	2	4	FRI	Quercuspetraea	oak	50.92785	-1.657083	89.9	4.12	6.5	50.925	-1.658333	213
FRI11	0	1	2	2	4	FRI	Quercuspetraea	oak	50.928483	-1.655183	104.2	3.88	4	50.925	-1.658333	214
FRI12	0	0	2	2	4	FRI	Quercusrobur	oak	50.92875	-1.655667	109.1	1.83	5.5	50.925	-1.658333	214
FRI13	0	0	0	4	4	FRI	Quercusrobur	oak	50.928883	-1.655967	127.4	3.76	4.5	50.925	-1.658333	213
FRI14	0	1	0	2	4	FRI	Quercusrobur	oak	50.929333	-1.655383	132.9	2.88	3.5	50.93333	-1.658333	213
FRI15	0	0	0	2	4	FRI	Quercuspetraea	oak	50.929967	-1.65555	133.2	2.34	4.5	50.93333	-1.658333	213
FRI2	0	1	0	3	4	FRI	Quercusrobur	oak	50.928033	-1.655867	177.4	3.73	3.5	50.925	-1.658333	213
